Generations
0,,,,,12,,,,,,,,,,,,,,,
1,,,16,,,,,,12,,,,,,,11,,,,
2,16,,18,,,10,12,,11,14,13,,7,,,10,11,,14,7
3,15,7,,9,8,,,9,10,12,,,,12,12,9,,11,,
4,12,10,,,13,14,8,9,6,3,15,15,,9,15,,,,8,17
5,,,,,15,8,,13,11,9,,11,11,14,,,,12,13,14
6,9,,14,,5,,14,11,11,12,,,,16,8,15,,,,
7,,3,,,,13,11,5,13,10,,10,8,17,0,8,9,,14,11
8,,16,,,12,2,,,13,11,12,,26,,,9,,,,
9,14,8,14,,,24,,10,,,,21,,,,8,,,21,20
10,26,22,24,20,25,,19,,8,,21,,,19,24,,23,,15,27
11,1,25,28,24,25,,,24,,24,,,,25,23,,,22,,
12,,25,8,21,,,,,27,22,,27,18,,,19,,15,,
13,17,23,,,,31,24,21,25,24,27,2,25,,24,,,,26,
14,22,25,,21,,,22,24,18,,,,24,20,,20,,,25,25
15,20,27,,22,23,24,,25,,,14,24,,22,26,,,2,,17
16,20,,18,,25,20,29,,24,,26,26,26,,,27,18,24,,
17,,34,,28,23,23,23,19,16,21,,19,5,,22,18,,,27,22
18,20,,,,30,29,,35,20,29,,21,23,23,33,34,,,23,26
19,26,,,2,31,,17,28,32,22,,,,37,29,,30,37,,23
20,,,31,30,20,24,32,25,,32,,32,27,,,31,26,36,31,
21,19,32,33,,31,,,30,,,,30,26,32,,30,,33,34,
22,,,,,36,,27,35,33,23,,31,22,,36,27,,,30,33
23,,9,13,,31,,35,28,28,,25,24,26,29,32,33,,,33,
24,34,29,34,33,,,,30,35,32,34,23,,,34,30,,,21,
