Generations
0,,26,,1,,,15,,,,,,27,3,,,,,,
1,,,24,,16,,2,25,30,11,28,0,30,,,27,0,7,,
2,,30,10,0,39,28,0,33,13,,12,32,27,22,25,29,0,0,3,3
3,18,,27,,,,,14,31,30,,28,4,0,35,29,29,,28,28
4,28,,4,30,24,34,25,25,38,22,,4,40,0,14,29,26,,27,0
5,33,22,,28,1,,0,,,,25,,22,30,,41,19,25,25,28
6,,39,,41,42,42,30,41,36,31,0,36,,40,28,46,0,24,29,1
7,,43,,39,,41,,35,0,,,38,37,31,42,47,38,45,40,46
8,32,35,0,34,40,38,44,,,45,34,38,0,37,36,,,36,35,44
9,44,23,41,47,47,0,41,41,41,,,47,,12,,44,47,45,42,
10,44,42,32,,41,17,,49,1,43,37,,,10,,39,49,3,0,41
11,45,0,34,47,46,,51,,1,,,,,43,43,44,46,1,,0
12,,,33,44,,37,,,3,41,53,,10,46,40,36,40,,41,47
13,43,,45,,45,,48,,,46,36,0,,37,46,53,45,39,41,
14,,44,,41,0,43,48,36,47,37,11,2,,44,47,47,41,42,49,
15,43,42,6,,37,44,39,52,,,44,56,40,51,38,36,39,50,46,29
16,46,42,0,37,,45,,53,35,50,40,,0,39,53,44,47,,12,40
17,39,46,,37,,43,43,43,41,33,45,,41,,43,48,,19,0,41
18,,40,50,,45,6,49,,42,43,39,41,,34,,42,37,44,,43
19,39,43,45,0,,42,42,43,,,46,46,52,,10,46,33,35,45,51
20,,36,,45,34,54,46,,6,53,,40,,,49,57,46,,44,50
21,11,,,6,39,,38,42,45,42,37,48,46,52,37,,32,47,41,43
22,47,9,47,46,,,,45,,41,,10,48,42,37,47,,36,,
23,0,37,42,6,,46,50,,38,54,,2,,,42,49,,,48,45
24,,,50,38,48,54,0,46,,48,,,40,39,,51,,36,47,42
25,53,,48,2,50,46,0,37,,45,44,10,42,58,44,3,,1,15,
