Generations
0,,3,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,6,,,
2,,,,,,,,,,,,,,,,,3,,,4
3,10,,,,,,,2,,,,,,,,4,,4,,
4,,,4,,5,6,,1,5,8,6,,,,3,3,2,,4,
5,4,6,3,,3,,4,3,,,,4,,1,,,,6,6,
6,4,,,8,2,,3,,3,7,5,,5,10,,2,4,8,7,7
7,4,,,3,7,,2,,1,6,4,5,5,1,,,2,,,5
8,,4,3,,,,4,2,5,,,,5,,1,1,4,6,,0
9,,3,8,5,4,,7,3,5,4,,,,,5,7,7,,,8
10,3,,6,,6,,5,,10,,,4,,7,6,,,10,,6
11,3,,,6,0,,,9,6,36,5,,,8,8,7,3,9,6,5
12,,,,,,,,5,37,1,5,,31,,7,,2,39,,8
13,,36,,,,,,,2,,,,29,35,,2,,,,
14,,,33,41,,,,32,7,41,38,,,11,38,,,6,,36
15,42,40,,,,,38,31,,35,38,33,33,33,,5,45,,,34
16,40,,,34,31,47,,44,32,,37,38,,46,33,34,,35,40,42
17,35,,33,,,,33,31,41,42,35,,41,,34,,34,27,34,35
18,31,13,,37,,48,55,,38,,43,33,40,36,26,,35,35,31,35
19,33,,,35,9,,49,28,32,34,,42,34,37,,34,43,42,29,
20,,,,31,,34,38,,,33,30,36,46,,37,,40,,,
21,,,,34,,47,,39,39,,38,,,31,,35,,,,44
22,32,36,35,32,,,,37,34,40,,36,44,34,,40,40,35,,
23,,,37,38,37,,,38,33,40,,,30,,36,,42,39,39,36
24,41,,36,35,32,,40,37,,38,,,42,34,,6,,,39,
